ID,Año del hecho,Sexo de la victima,Grupo de edad de la victima,Mes del hecho,Dia del hecho,Departamento del hecho DANE,Municipio del hecho DANE,Lesion fatal de causa externa,Estado
19160,2018,Hombre,(25 a 29),Junio,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19161,2018,Mujer,(15 a 17),Junio,Martes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19162,2018,Hombre,(25 a 29),Julio,Domingo,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19163,2018,Hombre,(15 a 17),Julio,Domingo,Putumayo,Orito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19164,2018,Hombre,(20 a 24),Julio,Sábado,Huila,Acevedo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19165,2018,Mujer,(10 a 14),Julio,Domingo,Huila,Suaza,Violenta - Muertes en accidentes de transporte,Datos definitivos
19166,2018,Hombre,(45 a 49),Julio,Lunes,Huila,Palestina,Violenta - Muertes en accidentes de transporte,Datos definitivos
19167,2018,Hombre,(45 a 49),Agosto,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19168,2018,Hombre,(25 a 29),Agosto,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19169,2018,Hombre,(20 a 24),Agosto,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19170,2018,Hombre,(55 a 59),Septiembre,Lunes,Putumayo,Puerto Asís,Violenta - Muertes en accidentes de transporte,Datos definitivos
19171,2018,Hombre,(20 a 24),Septiembre,Jueves,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19172,2018,Hombre,(50 a 54),Octubre,Jueves,Huila,Timaná,Violenta - Muertes en accidentes de transporte,Datos definitivos
19173,2018,Mujer,(00 a 04),Octubre,Domingo,Huila,Palestina,Violenta - Muertes en accidentes de transporte,Datos definitivos
19174,2018,Hombre,(50 a 54),Octubre,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19175,2018,Hombre,(25 a 29),Octubre,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19176,2018,Hombre,(40 a 44),Octubre,Sábado,Huila,Guadalupe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19177,2018,Hombre,(20 a 24),Noviembre,Sábado,Huila,Timaná,Violenta - Muertes en accidentes de transporte,Datos definitivos
19178,2018,Hombre,(35 a 39),Noviembre,Lunes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19179,2018,Hombre,(55 a 59),Octubre,Jueves,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19180,2018,Mujer,(20 a 24),Noviembre,Domingo,Huila,Elías,Violenta - Muertes en accidentes de transporte,Datos definitivos
19181,2018,Hombre,(55 a 59),Diciembre,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19182,2018,Hombre,(15 a 17),Diciembre,Lunes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19183,2018,Mujer,(05 a 09),Diciembre,Viernes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19184,2018,Hombre,(35 a 39),Diciembre,Martes,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19185,2018,Hombre,(30 a 34),Diciembre,Lunes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19186,2018,Hombre,(25 a 29),Diciembre,Viernes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19187,2018,Hombre,(20 a 24),Diciembre,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19188,2018,Hombre,(55 a 59),Diciembre,Lunes,Huila,Acevedo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19189,2018,Mujer,(15 a 17),Diciembre,Domingo,Huila,Elías,Violenta - Muertes en accidentes de transporte,Datos definitivos
19190,2018,Hombre,(70 a 74),Mayo,Jueves,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19191,2018,Hombre,(15 a 17),Noviembre,Miércoles,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19192,2018,Hombre,(20 a 24),Diciembre,Sábado,Huila,Suaza,Violenta - Muertes en accidentes de transporte,Datos definitivos
19193,2018,Hombre,(15 a 17),Enero,Miércoles,Putumayo,Colón,Violenta - Muertes en accidentes de transporte,Datos definitivos
